ProteinA,ProteinB,Label
protein260,protein1921,1
protein1244,protein228,1
protein2523,protein1145,1
protein2751,protein417,1
protein662,protein2468,1
protein2152,protein400,1
protein1311,protein2034,1
protein1432,protein1192,1
protein2269,protein1420,1
protein857,protein865,1
protein1602,protein1475,1
protein1008,protein2602,1
protein2457,protein2631,1
protein1669,protein1451,1
protein2811,protein1065,1
protein1283,protein277,1
protein2096,protein1279,1
protein802,protein802,1
protein2207,protein1308,1
protein1270,protein2357,1
protein1457,protein2586,1
protein1856,protein176,1
protein26,protein531,1
protein1077,protein1514,1
protein1937,protein1757,1
protein271,protein2356,1
protein247,protein1071,1
protein1958,protein257,1
protein1690,protein41,1
protein44,protein2456,1
protein1002,protein1609,1
protein1210,protein718,1
protein2709,protein385,1
protein2248,protein418,1
protein1445,protein493,1
protein198,protein1116,1
protein716,protein1537,1
protein1791,protein919,1
protein1206,protein1722,1
protein460,protein2432,1
protein2790,protein1241,1
protein2188,protein2239,1
protein802,protein2394,1
protein1420,protein896,1
protein1828,protein986,1
protein2039,protein587,1
protein2733,protein580,1
protein362,protein1022,1
protein1527,protein1036,1
protein2735,protein797,1
protein1498,protein1609,1
protein653,protein1948,1
protein1609,protein2046,1
protein2297,protein181,1
protein1835,protein1030,1
protein288,protein780,1
protein144,protein1042,1
protein1651,protein407,1
protein1131,protein1644,1
protein2181,protein1514,1
protein2745,protein172,1
protein1722,protein1278,1
protein1487,protein279,1
protein182,protein1371,1
protein1166,protein646,1
protein1326,protein391,1
protein1136,protein37,1
protein443,protein826,1
protein686,protein2282,1
protein1799,protein1303,1
protein491,protein1251,1
protein2489,protein1272,1
protein2194,protein2118,1
protein1764,protein2114,1
protein2165,protein2503,1
protein943,protein1206,1
protein1523,protein242,1
protein1075,protein1722,1
protein414,protein2305,1
protein1371,protein665,1
protein416,protein748,1
protein2398,protein2053,1
protein222,protein1250,1
protein409,protein1919,1
protein337,protein2096,1
protein2504,protein2796,1
protein2503,protein2729,1
protein1644,protein2669,1
protein1873,protein1093,1
protein2456,protein2750,1
protein2771,protein1240,1
protein2141,protein830,1
protein236,protein1856,1
protein788,protein460,1
protein1008,protein734,1
protein531,protein1100,1
protein1282,protein1478,1
protein801,protein577,1
protein2558,protein1487,1
protein1609,protein1359,1
protein2346,protein2023,1
protein1016,protein847,1
protein228,protein2356,1
protein2525,protein2750,1
protein1898,protein1988,1
protein1623,protein2252,1
protein2457,protein2242,1
protein2767,protein303,1
protein1987,protein1938,1
protein14,protein2258,1
protein1988,protein1613,1
protein2599,protein2016,1
protein1609,protein1219,1
protein876,protein1933,1
protein2221,protein1828,1
protein1236,protein1388,1
protein2567,protein1221,1
protein1936,protein1974,1
protein1525,protein129,1
protein1713,protein2283,1
protein1534,protein2457,1
protein228,protein276,1
protein296,protein340,1
protein1281,protein1810,1
protein334,protein1249,1
protein2593,protein1967,1
protein799,protein1669,1
protein1769,protein1672,1
protein2456,protein698,1
protein493,protein2092,1
protein504,protein1736,1
protein1064,protein2043,1
protein2461,protein224,1
protein234,protein1970,1
protein1672,protein362,1
protein2643,protein1421,1
protein840,protein2292,1
protein924,protein508,1
protein443,protein73,1
protein1056,protein2029,1
protein2014,protein1032,1
protein762,protein499,1
protein1645,protein1153,1
protein2570,protein2107,1
protein1824,protein770,1
protein2339,protein1165,1
protein2356,protein300,1
protein591,protein2202,1
protein245,protein1609,1
protein2773,protein1281,1
protein242,protein1872,1
protein631,protein1333,1
protein1599,protein95,1
protein2533,protein276,1
protein1691,protein2740,1
protein1107,protein1623,1
protein2519,protein2309,1
protein1536,protein2239,1
protein1623,protein1758,1
protein362,protein804,1
protein2731,protein2356,1
protein2427,protein810,1
protein1507,protein2507,1
protein511,protein1200,1
protein556,protein2071,1
protein1566,protein1522,1
protein951,protein2465,1
protein2088,protein799,1
protein1940,protein536,1
protein2351,protein9,1
protein1048,protein2671,1
protein2708,protein1696,1
protein577,protein2337,1
protein270,protein1182,1
protein1243,protein2604,1
protein1545,protein1898,1
protein1154,protein1088,1
protein1147,protein2108,1
protein64,protein2189,1
protein2673,protein2454,1
protein2443,protein1293,1
protein2262,protein1481,1
protein2405,protein2497,1
protein313,protein2607,1
protein1798,protein644,1
protein2643,protein2015,1
protein1887,protein1830,1
protein1240,protein414,1
protein2220,protein356,1
protein1748,protein2634,1
protein2753,protein625,1
protein2456,protein945,1
protein2065,protein2812,1
protein2484,protein2184,1
protein777,protein2440,1
protein2695,protein839,1
protein2037,protein480,1
protein2350,protein276,1
protein993,protein105,1
protein677,protein1784,1
protein1100,protein2355,1
protein866,protein2564,1
protein173,protein129,1
protein975,protein1898,1
protein47,protein398,1
protein2033,protein1952,1
protein1391,protein1623,1
protein2664,protein2073,1
protein1672,protein1680,1
protein1017,protein1447,1
protein1086,protein189,1
protein144,protein718,1
protein2671,protein928,1
protein740,protein129,1
protein649,protein1737,1
protein1089,protein1599,1
protein1458,protein1725,1
protein1547,protein493,1
protein1537,protein316,1
protein2477,protein2782,1
protein1881,protein1540,1
protein802,protein1922,1
protein1992,protein1036,1
protein1667,protein324,1
protein1992,protein2369,1
protein2245,protein838,1
protein1735,protein1107,1
protein2643,protein118,1
protein1676,protein718,1
protein1722,protein2522,1
protein1630,protein1572,1
protein933,protein2430,1
protein897,protein937,1
protein2751,protein1253,1
protein79,protein2336,1
protein1757,protein1206,1
protein2457,protein1148,1
protein2642,protein999,1
protein400,protein1887,1
protein1484,protein1108,1
protein805,protein799,1
protein1112,protein2208,1
protein2346,protein1034,1
protein2378,protein461,1
protein2340,protein1326,1
protein240,protein1609,1
protein849,protein2667,1
protein2320,protein2071,1
protein2583,protein312,1
protein857,protein759,1
protein1875,protein1071,1
protein1759,protein2103,1
protein1471,protein6,1
protein945,protein2738,1
protein105,protein2402,1
protein2356,protein2272,1
protein1467,protein173,1
protein362,protein2218,1
protein427,protein1609,1
protein1655,protein1106,1
protein760,protein954,1
protein1921,protein229,1
protein731,protein882,1
protein235,protein881,1
protein630,protein2686,1
protein1677,protein1921,1
protein2820,protein2826,1
protein1835,protein1959,1
protein2326,protein2613,1
protein1436,protein2328,1
protein2429,protein1474,1
protein73,protein1943,1
protein480,protein960,1
protein38,protein2474,1
protein1198,protein600,1
protein1422,protein1115,1
protein2704,protein767,1
protein1574,protein851,1
protein909,protein1493,1
protein1466,protein719,1
protein1200,protein2456,1
protein44,protein500,1
protein955,protein1602,1
protein543,protein2290,1
protein638,protein2159,1
protein732,protein641,1
protein1592,protein2528,1
protein2467,protein2652,1
protein221,protein2517,1
protein497,protein1635,1
protein2098,protein1055,1
protein2508,protein2817,1
protein969,protein1262,1
protein1298,protein531,1
protein280,protein394,1
protein2470,protein1835,1
protein687,protein339,1
protein756,protein275,1
protein834,protein2417,1
protein2224,protein1824,1
protein531,protein568,1
protein1360,protein2139,1
protein807,protein1841,1
protein1048,protein2421,1
protein2447,protein789,1
protein228,protein332,1
protein1857,protein2476,1
protein2248,protein103,1
protein1157,protein1851,1
protein386,protein1611,1
protein2454,protein1298,1
protein1875,protein918,1
protein2561,protein876,1
protein1128,protein1389,1
protein504,protein2356,1
protein2356,protein1203,1
protein2740,protein198,1
protein178,protein945,1
protein1780,protein2643,1
protein400,protein258,1
protein1962,protein1002,1
protein355,protein200,1
protein1987,protein3,1
protein2071,protein2506,1
protein2456,protein964,1
protein191,protein1371,1
protein2203,protein1559,1
protein1315,protein2556,1
protein802,protein228,1
protein160,protein2231,1
protein1142,protein1998,1
protein254,protein1326,1
protein2646,protein276,1
protein510,protein107,1
protein831,protein229,1
protein1088,protein2785,1
protein1834,protein282,1
protein1902,protein1634,1
protein506,protein593,1
protein1298,protein1846,1
protein2201,protein577,1
protein1902,protein2490,1
protein2657,protein611,1
protein311,protein2096,1
protein2418,protein1111,1
protein2579,protein1623,1
protein2309,protein2518,1
protein955,protein1240,1
protein1987,protein228,1
protein1764,protein276,1
protein1411,protein475,1
protein2631,protein1859,1
protein1623,protein2599,1
protein326,protein1073,1
protein2131,protein2029,1
protein2346,protein1859,1
protein857,protein952,1
protein1757,protein798,1
protein2825,protein1611,1
protein1223,protein877,1
protein1680,protein1111,1
protein1044,protein1587,1
protein1274,protein72,1
protein1833,protein372,1
protein1623,protein2135,1
protein1963,protein2356,1
protein1224,protein910,1
protein2051,protein1446,1
protein647,protein1426,1
protein1609,protein1566,1
protein2515,protein1722,1
protein2098,protein2542,1
protein1851,protein2356,1
protein1222,protein611,1
protein175,protein198,1
protein2071,protein1931,1
protein2429,protein105,1
protein1735,protein2832,1
protein2507,protein951,1
protein2790,protein1063,1
protein1442,protein2709,1
protein75,protein1609,1
protein333,protein2083,1
protein339,protein645,1
protein1795,protein799,1
protein945,protein116,1
protein1504,protein1862,1
protein9,protein1992,1
protein1498,protein72,1
protein1374,protein1085,1
protein20,protein953,1
protein1112,protein2607,1
protein144,protein2139,1
protein1190,protein73,1
protein2441,protein975,1
protein32,protein517,1
protein88,protein2596,1
protein1610,protein1336,1
protein1060,protein778,1
protein2354,protein1345,1
protein613,protein1588,1
protein2704,protein740,1
protein1367,protein331,1
protein1791,protein2569,1
protein768,protein799,1
protein73,protein1609,1
protein1417,protein271,1
protein2457,protein2356,1
protein2242,protein2055,1
protein72,protein2718,1
protein271,protein2451,1
protein2740,protein1341,1
protein2518,protein1003,1
protein2178,protein0,1
protein1355,protein1471,1
protein685,protein2641,1
protein2790,protein2356,1
protein1660,protein419,1
protein21,protein1493,1
protein34,protein350,1
protein2631,protein2053,1
protein710,protein2449,1
protein2122,protein504,1
protein607,protein2740,1
protein1698,protein2457,1
protein1149,protein625,1
protein2048,protein2707,1
protein2148,protein1512,1
protein1680,protein802,1
protein1113,protein1487,1
protein1032,protein2244,1
protein121,protein505,1
protein39,protein2003,1
protein1630,protein44,1
protein1622,protein2299,1
protein710,protein1206,1
protein1299,protein2106,1
protein1388,protein558,1
protein2467,protein228,1
protein456,protein1409,1
protein198,protein2051,1
protein14,protein89,1
protein802,protein1609,1
protein1440,protein1372,1
protein1720,protein2051,1
protein2599,protein1303,1
protein2754,protein898,1
protein1902,protein2493,1
protein1037,protein3,1
protein1922,protein460,1
protein1757,protein601,1
protein2417,protein2370,1
protein551,protein1165,1
protein2801,protein2783,1
protein904,protein1224,1
protein416,protein600,1
protein441,protein2318,1
protein1622,protein929,1
protein2753,protein414,1
protein2356,protein1052,1
protein2104,protein1930,1
protein1009,protein2519,1
protein331,protein326,1
protein763,protein945,1
protein1206,protein1632,1
protein2280,protein2809,1
protein505,protein2456,1
protein2356,protein1992,1
protein2226,protein2041,1
protein144,protein745,1
protein710,protein205,1
protein2534,protein2572,1
protein998,protein2777,1
protein2028,protein1480,1
protein858,protein44,1
protein1188,protein525,1
protein2699,protein966,1
protein2673,protein1072,1
protein1933,protein54,1
protein2421,protein871,1
protein2742,protein650,1
protein1875,protein1755,1
protein229,protein2453,1
protein339,protein2356,1
protein740,protein1466,1
protein1127,protein805,1
protein2070,protein615,1
protein373,protein72,1
protein544,protein2558,1
protein458,protein599,1
protein398,protein213,1
protein1741,protein945,1
protein1835,protein1065,1
protein228,protein1761,1
protein2478,protein355,1
protein2063,protein1711,1
protein966,protein1892,1
protein1599,protein1605,1
protein2480,protein276,1
protein2735,protein2291,1
protein1312,protein804,1
protein67,protein266,1
protein265,protein2512,1
protein2720,protein1484,1
protein1830,protein740,1
protein1864,protein57,1
protein416,protein262,1
protein2200,protein865,1
protein1763,protein1417,1
protein1459,protein1420,1
protein2207,protein1326,1
protein864,protein1450,1
protein1268,protein1551,1
protein2239,protein1873,1
protein40,protein718,1
protein975,protein1001,1
protein451,protein2096,1
protein2313,protein247,1
protein1127,protein1437,1
protein945,protein1467,1
protein1502,protein129,1
protein2366,protein546,1
protein418,protein842,1
protein2526,protein541,1
protein126,protein1795,1
protein2071,protein2406,1
protein228,protein2341,1
protein54,protein1902,1
protein1623,protein856,1
protein1147,protein2763,1
protein2356,protein238,1
protein872,protein2370,1
protein2715,protein333,1
protein73,protein2208,1
protein2709,protein722,1
protein2599,protein928,1
protein1662,protein1127,1
protein659,protein144,1
protein759,protein890,1
protein1910,protein2540,1
protein2683,protein2824,1
protein2540,protein2557,1
protein1839,protein354,1
protein416,protein2771,1
protein779,protein1289,1
protein1218,protein2052,1
protein129,protein786,1
protein1002,protein1520,1
protein766,protein74,1
protein2592,protein1896,1
protein2070,protein2268,1
protein354,protein172,1
protein2047,protein1006,1
protein2378,protein1419,1
protein2536,protein2398,1
protein565,protein2370,1
protein2343,protein238,1
protein276,protein1913,1
protein2455,protein414,1
protein1860,protein1384,1
protein945,protein1326,1
protein1843,protein799,1
protein2566,protein14,1
protein176,protein2415,1
protein2088,protein926,1
protein2404,protein630,1
protein2268,protein1353,1
protein407,protein289,1
protein1663,protein2088,1
protein2607,protein1007,1
protein2448,protein1145,1
protein781,protein398,1
protein2117,protein1127,1
protein126,protein2415,1
protein1609,protein1284,1
protein2720,protein1146,1
protein2348,protein1726,1
protein1159,protein943,1
protein2239,protein1048,1
protein1933,protein2647,1
protein732,protein2016,1
protein1648,protein1858,1
protein1081,protein153,1
protein1002,protein2461,1
protein1006,protein289,1
protein2370,protein1710,1
protein1959,protein1487,1
protein716,protein1984,1
protein2218,protein2122,1
protein2692,protein2033,1
protein669,protein2659,1
protein1595,protein1566,1
protein964,protein1421,1
protein490,protein880,1
protein863,protein1921,1
protein2071,protein1291,1
protein2104,protein1677,1
protein337,protein1804,1
protein469,protein812,1
protein2307,protein561,1
protein557,protein276,1
protein2290,protein390,1
protein214,protein1659,1
protein1024,protein2071,1
protein2019,protein951,1
protein47,protein2004,1
protein804,protein918,1
protein2033,protein2275,1
protein2827,protein1921,1
protein2028,protein2024,1
protein2573,protein2279,1
protein2480,protein2755,1
protein740,protein2589,1
protein2288,protein400,1
protein1498,protein1200,1
protein2245,protein1552,1
protein114,protein1609,1
protein2687,protein351,1
protein2343,protein547,1
protein2015,protein2336,1
protein1497,protein1722,1
protein1081,protein1844,1
protein2348,protein1141,1
protein1240,protein2652,1
protein2495,protein518,1
protein1858,protein671,1
protein75,protein1379,1
protein443,protein846,1
protein2370,protein1169,1
protein362,protein655,1
protein2066,protein204,1
protein2359,protein1887,1
protein1449,protein298,1
protein734,protein1748,1
protein1619,protein1252,1
protein726,protein1470,1
protein1261,protein1065,1
protein1886,protein2457,1
protein2456,protein1262,1
protein1881,protein2607,1
protein755,protein1631,1
protein1288,protein1127,1
protein973,protein340,1
protein1114,protein103,1
protein2436,protein2134,1
protein2047,protein2806,1
protein1443,protein962,1
protein2456,protein1145,1
protein2065,protein2258,1
protein127,protein2155,1
protein384,protein2242,1
protein1672,protein1238,1
protein1900,protein680,1
protein2336,protein2004,1
protein1609,protein33,1
protein2829,protein499,1
protein2209,protein2643,1
protein1828,protein67,1
protein1837,protein1201,1
protein1087,protein2167,1
protein1023,protein1857,1
protein530,protein1395,1
protein517,protein1627,1
protein2356,protein754,1
protein2512,protein2340,1
protein781,protein400,1
protein2798,protein1057,1
protein1647,protein1107,1
protein2413,protein2217,1
protein330,protein2368,1
protein1282,protein2480,1
protein271,protein1326,1
protein276,protein2209,1
protein2606,protein2476,1
protein1750,protein2053,1
protein276,protein1722,1
protein799,protein2243,1
protein2252,protein1491,1
protein2790,protein384,1
protein2076,protein2645,1
protein614,protein1047,1
protein2625,protein955,1
protein2707,protein2754,1
protein1477,protein2370,1
protein577,protein1206,1
protein276,protein2048,1
protein1240,protein1333,1
protein2551,protein53,1
protein2828,protein2572,1
protein2587,protein961,1
protein1609,protein1143,1
protein228,protein636,1
protein1453,protein1644,1
protein1367,protein2563,1
protein1417,protein1604,1
protein1676,protein1776,1
protein399,protein421,1
protein451,protein1253,1
protein327,protein116,1
protein2695,protein1424,1
protein620,protein799,1
protein2102,protein841,1
protein1920,protein1718,1
protein2601,protein2109,1
protein685,protein2455,1
protein1717,protein976,1
protein57,protein911,1
protein1947,protein1380,1
protein1002,protein1373,1
protein1609,protein1672,1
protein496,protein2391,1
protein1881,protein1709,1
protein2828,protein1124,1
protein1624,protein1956,1
protein2790,protein1298,1
protein1992,protein473,1
protein718,protein1987,1
protein0,protein2510,1
protein184,protein1281,1
protein1013,protein2761,1
protein769,protein2102,1
protein1093,protein229,1
protein1786,protein377,1
protein705,protein79,1
protein30,protein2356,1
protein398,protein1534,1
protein1977,protein393,1
protein1992,protein1633,1
protein914,protein1609,1
protein2507,protein618,1
protein854,protein1112,1
protein1991,protein1892,1
protein883,protein1984,1
protein1947,protein1913,1
protein475,protein1777,1
protein647,protein707,1
protein2808,protein828,1
protein2311,protein1707,1
protein2513,protein1241,1
protein1006,protein346,1
protein2288,protein455,1
protein2469,protein1883,1
protein1830,protein1623,1
protein1639,protein2203,1
protein1938,protein1284,1
protein1755,protein46,1
protein2456,protein1525,1
protein2313,protein2624,1
protein2664,protein577,1
protein2258,protein400,1
protein2004,protein1585,1
protein1854,protein945,1
protein1246,protein2085,1
protein2092,protein2356,1
protein1579,protein869,1
protein2325,protein2046,1
protein1471,protein609,1
protein2128,protein2071,1
protein180,protein1799,1
protein2404,protein1371,1
protein1519,protein1293,1
protein1130,protein1898,1
protein2014,protein1525,1
protein1680,protein2309,1
protein2356,protein763,1
protein1816,protein339,1
protein501,protein1466,1
protein1016,protein290,1
protein853,protein2336,1
protein593,protein1006,1
protein2707,protein1715,1
protein2394,protein538,1
protein2346,protein1391,1
protein868,protein1892,1
protein229,protein470,1
protein2736,protein1579,1
protein2540,protein1988,1
protein2354,protein1998,1
protein1293,protein1935,1
protein1088,protein1065,1
protein2767,protein2370,1
protein732,protein454,1
protein2240,protein539,1
protein1433,protein218,1
protein1313,protein286,1
protein1478,protein2570,1
protein2214,protein2775,1
protein264,protein2631,1
protein1627,protein849,1
protein2682,protein326,1
protein105,protein644,1
protein789,protein833,1
protein2805,protein1214,1
protein432,protein1623,1
protein2356,protein2161,1
protein2071,protein768,1
protein779,protein2305,1
protein2648,protein2374,1
protein659,protein2599,1
protein1025,protein745,1
protein1365,protein633,1
protein1219,protein1914,1
protein2046,protein276,1
protein1790,protein2006,1
protein403,protein1987,1
protein2003,protein49,1
protein2557,protein2356,1
protein1521,protein734,1
protein582,protein961,1
protein1855,protein564,1
protein803,protein1639,1
protein689,protein276,1
protein1602,protein2398,1
protein2004,protein400,1
protein2059,protein2204,1
protein2817,protein1974,1
protein2510,protein327,1
protein1268,protein1640,1
protein1768,protein968,1
protein1387,protein1542,1
protein276,protein1609,1
protein2773,protein1856,1
protein1114,protein730,1
protein2516,protein2295,1
protein1414,protein276,1
protein2155,protein719,1
protein2457,protein0,1
protein1859,protein1335,1
protein285,protein1626,1
protein502,protein2511,1
protein1609,protein555,1
protein2156,protein2594,1
protein178,protein1508,1
protein1327,protein2456,1
protein830,protein828,1
protein1763,protein2830,1
protein2562,protein2071,1
protein1244,protein414,1
protein1293,protein410,1
protein691,protein589,1
protein2730,protein1298,1
protein2522,protein507,1
protein1409,protein941,1
protein1805,protein1962,1
protein1858,protein269,1
protein993,protein213,1
protein292,protein2697,1
protein946,protein276,1
protein1563,protein690,1
protein875,protein1007,1
protein1492,protein2101,1
protein1009,protein1896,1
protein2352,protein2725,1
protein400,protein2612,1
protein276,protein546,1
protein730,protein164,1
protein22,protein1722,1
protein2788,protein2198,1
protein2648,protein1051,1
protein87,protein2030,1
protein1846,protein736,1
protein2208,protein2519,1
protein2709,protein1388,1
protein968,protein2528,1
protein1755,protein2526,1
protein2572,protein1460,1
protein2723,protein2635,1
protein1525,protein2520,1
protein1875,protein400,1
protein1905,protein1947,1
protein2016,protein259,1
protein1349,protein166,1
protein506,protein851,1
protein951,protein1834,1
protein398,protein1851,1
protein2580,protein2552,1
protein2102,protein1423,1
protein583,protein2588,1
protein1757,protein2366,1
protein1465,protein2469,1
protein1609,protein2481,1
protein2202,protein1032,1
protein271,protein2370,1
protein1541,protein494,1
protein1388,protein2521,1
protein2328,protein276,1
protein951,protein1487,1
protein271,protein1550,1
protein2552,protein474,1
protein144,protein742,1
protein1166,protein1480,1
protein2316,protein2426,1
protein228,protein639,1
protein44,protein2266,1
protein2307,protein2456,1
protein1936,protein1563,1
protein851,protein1298,1
protein1659,protein2245,1
protein2510,protein2456,1
protein228,protein2477,1
protein266,protein391,1
protein2673,protein2727,1
protein2519,protein1609,1
protein982,protein2456,1
protein2340,protein1988,1
protein1293,protein748,1
protein788,protein3,1
protein860,protein2456,1
protein2037,protein557,1
protein208,protein2533,1
protein1139,protein1283,1
protein398,protein2281,1
protein1480,protein458,1
protein205,protein1825,1
protein2218,protein873,1
protein2533,protein2409,1
protein2110,protein528,1
protein2698,protein2673,1
protein1996,protein2773,1
protein2244,protein2209,1
protein1200,protein876,1
protein2301,protein2152,1
protein2405,protein2753,1
protein1091,protein2742,1
protein1495,protein863,1
protein1253,protein126,1
protein759,protein1766,1
protein1808,protein2461,1
protein2599,protein1722,1
protein129,protein207,1
protein2059,protein64,1
protein170,protein1841,1
